movie_name,movie_description,target,id
Hellraiser,"A new take on Clive Barker's 1987 horror classic in which a young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",Horror,3525e31d
Hocus Pocus 2,"It's been 29 years since someone lit the Black Flame Candle and resurrected the 17th-century sisters, and they are looking for revenge. Now it is up to three high-school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",Kids,051f6309
X,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Horror,12a9bfcf
Piggy,"With the summer sun beating down on her rural Spanish town, Sara hides away in her parent's butcher shop. A teenager whose excess weight makes her the target of incessant bullying, she flees a clique of capricious girls who torment her at the town pool, only to stumble upon them being brutally kidnapped by a stranger, who drives off with them in his van. When the police begin asking questions, Sara keeps quiet. Intrigued by the stranger -- an interest that's mutual -- she's torn between revealing the truth and protecting the man who saved her.",Horror,e5373c77
Deadstream,"After a public controversy left him disgraced and demonetized, a washed up internet personality tries to win back his followers by livestreaming himself spending one night alone in a haunted house. When he accidentally pisses off a vengeful spirit, his comeback event becomes a real-time fight for his life (and social relevance) as he faces off with the sinister spirit of the house and her own powerful following.",Horror,473cdb82
God's Country,"When a college professor in the remote mountains of the American West confronts two hunters she catches trespassing on her property, she’s drawn into an escalating battle of wills with catastrophic consequences. Based on the short story “Winter Light” by James Lee Burke.",Mystery,e5da8af4
Significant Other,"SIGNIFICANT OTHER follows a young couple, Harry (Jake Lacy, ""White Lotus"") and Ruth (Maika Monroe, ""It Follows""), who take a remote backpacking trip through the Pacific Northwest, but things take a dark turn when they realize they may not be alone.",Mystery,45f3203e
The Greatest Beer Run Ever,"To show support for his neighborhood friends serving in Vietnam, Chickie Donohue (Zac Efron) decides to do something totally outrageous: travel to the frontline by himself to bring the soldiers a little piece of home -- their favorite can of American beer. However, what started as a well-meaning journey quickly turns into the adventure of a lifetime as Chickie confronts the reality of this controversial war and his reunions with his childhood buddies thrust him into the complexities and responsibilities of adulthood. Based on an incredible true story, ""The Greatest Beer Run Ever"" is a heartfelt coming-of-age tale about friendship, loyalty and sacrifice.",Comedy,f00aac8c
Last Seen Alive,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.",Action,68cfcb79
Grimcutty,"In this modern creature feature, a scary internet meme called ""Grimcutty"" stirs up panic amongst all the parents in town, convinced it's making their kids harm themselves and others. When a real-life version of Grimcutty starts attacking teen Asha Chaudry (Sara Wolfkind), her parents believe that she's cutting herself as part of a challenge. With her phone taken away and no one who believes her, Asha has to figure out how to get through to her parents and stop the Grimcutty once and for all.",Horror,4bb6c06f
